leg,symbol,entry_time,exit_time,side,session,hour,dow,status,pnl,size,bars_in_trade,entry_px,exit_px,sl_px,sl_dist_pts,sl_dist_pct,r_at_exit,mfe_pts,mae_pts,mfe_r,mae_r,canal_width_e,canal_width_pct_e,canal_slope_pct_per_bar,canal_green_e,canal_green_x,canal_flipped,hma_spread_pct,bbmc_minus_hma2,hw_at_entry,sgd_at_entry,mfi_at_entry,hw_sgd_spread_e,hw_at_exit,bars_since_setup,first_hw_after_entry_bars,first_hw_after_entry_dir,first_hw_after_exit_bars,first_hw_after_exit_dir,first_hw_after_exit_close,shadow_exit_r,preset
single,MNQ,2025-01-06 01:24:00+01:00,2025-01-06 06:18:00+01:00,Short,Asia,1,0,Stop Loss,-153.48,2.0,42,21499.5,21537.5,21537.5,38.0,0.17674829647201096,-1.0,20.75,41.0,0.5460526315789473,1.0789473684210527,3.4116571443737485,0.015868541800384887,0.015269696196757967,False,True,True,-0.015868541800384887,-1.5465199144382495,-12.907536434862193,-7.065980047520239,-4.647137549699461,-5.841556387341954,36.47228861339065,0,4.0,1.0,3.0,-1.0,21537.5,-1.0,MNQ_v4
single,MNQ,2025-01-06 12:22:00+01:00,2025-01-06 13:25:00+01:00,Long,UK,12,0,Canal Exit,9.76,1.0,9,21724.75,21730.0,21641.25,83.5,0.38435425033659765,0.06287425149700598,20.25,27.75,0.24251497005988024,0.3323353293413174,5.384034151553351,0.02478295101924464,-0.0032867708303666245,False,False,False,-0.02478295101924464,6.90406905553391,28.63955058340137,20.282761065742335,18.207348196587144,8.356789517659035,3.523599441396772,0,3.0,-1.0,5.0,-1.0,21732.5,0.09281437125748503,MNQ_v4
single,MNQ,2025-01-07 03:58:00+01:00,2025-01-07 11:47:00+01:00,Short,Asia,3,1,Canal Exit,-73.74,1.0,67,21728.5,21765.0,21785.75,57.25,0.263478841153324,-0.6375545851528385,69.5,46.25,1.2139737991266375,0.8078602620087336,4.294253230480535,0.019763229079230206,0.014126561372946336,False,True,True,-0.019763229079230206,-2.9973773715173593,-38.18633026959485,-32.02103300682871,-10.619044750183605,-6.165297262766138,36.62534534924363,0,2.0,1.0,8.0,1.0,21732.0,-0.0611353711790393,MNQ_v4
single,MNQ,2025-01-07 12:15:00+01:00,2025-01-07 12:43:00+01:00,Short,UK,12,1,Canal Exit,159.04,4.0,4,21752.25,21732.0,21772.0,19.75,0.09079520509372593,1.0253164556962024,25.75,14.5,1.3037974683544304,0.7341772151898734,2.0013456919259625,0.009200637598068993,0.012444316893500316,True,False,True,0.009200637598068993,-3.76100098038296,-14.318808970061344,-6.848353575382619,2.6078955796397367,-7.470455394678725,-29.701612934769816,2,4.0,1.0,1.0,-1.0,21724.75,1.3924050632911393,MNQ_v4
single,MNQ,2025-01-07 15:52:00+01:00,2025-01-07 16:34:00+01:00,Short,US,15,1,Canal Exit,557.76,1.0,6,21711.25,21432.0,21806.25,95.0,0.43756117220335083,2.9394736842105265,291.0,83.75,3.0631578947368423,0.881578947368421,6.230245773112983,0.0286959330905083,0.024288966421042495,False,False,False,-0.0286959330905083,-25.3212407340543,-8.580662088742496,-3.316755919971897,1.3725728029017883,-5.2639061687706,-36.188651755226026,3,6.0,1.0,1.0,-1.0,21418.0,3.086842105263158,MNQ_v4
single,MNQ,2025-01-07 19:50:00+01:00,2025-01-07 21:56:00+01:00,Short,US,19,1,Auto-Close (profit),140.76,1.0,18,21430.25,21359.5,21517.5,87.25,0.40713477444266866,0.8108882521489972,150.75,44.5,1.7277936962750717,0.5100286532951289,27.722850625454157,0.12936316947051088,0.05314148651076438,True,False,True,0.12936316947051088,-58.60247476252698,-13.677305952430041,-1.4727636693275663,-1.1490532155875404,-12.204542283102475,0.7952125588709897,3,3.0,1.0,5.0,-1.0,21379.0,0.5873925501432665,MNQ_v4
single,MNQ,2025-01-07 22:59:00+01:00,2025-01-08 00:56:00+01:00,Short,Asia,22,1,Stop Loss,-158.96,4.0,9,21375.25,21394.75,21394.75,19.5,0.09122700319294512,-1.0,30.5,24.75,1.564102564102564,1.2692307692307692,18.21300316331326,0.08520603578116401,0.025351792882051395,True,True,False,0.08520603578116401,-22.116250898463477,-11.312215689222583,-4.917260279294127,-8.679881909994462,-6.394955409928456,37.907100526629804,3,3.0,1.0,3.0,-1.0,21400.75,-1.3076923076923077,MNQ_v4
single,MNQ,2025-01-08 04:54:00+01:00,2025-01-08 05:50:00+01:00,Long,Asia,4,2,Stop Loss,-169.68,7.0,8,21406.75,21395.0,21395.0,11.75,0.054889228864727246,-1.0,12.25,22.5,1.0425531914893618,1.9148936170212767,4.090437342885707,0.019108166082594073,-0.012488281877468064,False,True,True,-0.019108166082594073,9.925109732270357,2.2119379756293873,-1.442082506819389,-1.9594933631756781,3.654020482448776,-15.657663217594077,2,5.0,-1.0,3.0,1.0,21406.25,-0.0425531914893617,MNQ_v4
single,MNQ,2025-01-08 07:35:00+01:00,2025-01-08 08:10:00+01:00,Short,Asia,7,2,Canal Exit,170.28,3.0,5,21409.5,21380.75,21434.75,25.25,0.11793829841892618,1.1386138613861385,43.0,3.75,1.702970297029703,0.1485148514851485,2.579277252225438,0.012047349317945016,0.018882841904583978,True,False,True,0.012047349317945016,-7.862296310642705,-9.25314029013866,-1.013165921029346,9.534822687313223,-8.239974369109314,-35.19684563271341,1,5.0,1.0,1.0,-1.0,21363.5,1.8217821782178218,MNQ_v4
single,MNQ,2025-01-08 15:17:00+01:00,2025-01-08 15:59:00+01:00,Short,UK,15,2,Stop Loss,-99.24,1.0,6,21344.5,21393.75,21393.75,49.25,0.23073859776523228,-1.0,59.5,61.5,1.2081218274111676,1.248730964467005,18.21133661602653,0.0853209801870577,0.042714220857268934,True,False,True,0.0853209801870577,-17.85053834187056,-0.1880123041107931,2.3570156597700604,-12.228556310437241,-2.5450279638808535,15.162954163062757,1,3.0,1.0,1.0,-1.0,21297.25,0.9593908629441624,MNQ_v4
single,MNQ,2025-01-08 19:01:00+01:00,2025-01-08 20:11:00+01:00,Long,US,19,2,Canal Exit,89.76,1.0,10,21316.0,21361.25,21166.0,150.0,0.70369675361231,0.3016666666666667,90.5,37.0,0.6033333333333334,0.24666666666666667,39.78417241479474,0.1866399531562898,-0.10926260675818711,False,True,True,-0.1866399531562898,27.22503866767147,8.58744301943669,-0.861027717108156,4.65212644204048,9.448470736544847,-7.2535281920158345,1,4.0,-1.0,4.0,-1.0,21341.5,0.17,MNQ_v4
single,MNQ,2025-01-09 00:21:00+01:00,2025-01-09 01:10:00+01:00,Long,Asia,0,3,Stop Loss,-171.48,2.0,7,21343.5,21301.0,21301.0,42.5,0.1991238550378335,-1.0,3.25,58.0,0.07647058823529412,1.3647058823529412,7.959239595664258,0.03729116403431611,-0.02104808274291648,False,False,False,-0.03729116403431611,11.97387513250942,11.691402877149448,5.156959115027689,0.7196183045653454,6.534443762121759,-35.16192763662635,2,3.0,-1.0,1.0,1.0,21313.5,-0.7058823529411765,MNQ_v4
