preset,entry_time,exit_time,side,size,entry_bar,exit_bar,bars_in_trade,entry_price,exit_price,pnl_real,status,last_leg_status,risk_pts,mfe_r,mae_r,first_fast_cross_bar,first_hw_after_fast_bar,first_contra_flip_bar,bars_fast_to_exit,bars_fast_to_hw,pnl_at_fast_cross,pnl_at_hw_cross,pnl_at_canal_flip,delta_hw_minus_fast,delta_flip_minus_real,canal_green_at_fast,canal_green_at_exit,gave_back_after_mfe,hour_of_entry,hour_of_exit
MGC_v3,2025-01-06 01:10:00+01:00,2025-01-06 01:52:00+01:00,Short,8.0,10,16,6,2652.3,2655.3,-249.92,Stop Loss,Stop Loss,3.0,0.4,-1.233,15.0,,,1.0,,-107.84,,,,,False,False,False,1,1
MGC_v3,2025-01-06 09:55:00+01:00,2025-01-06 12:36:00+01:00,Long,3.0,85,108,23,2643.9,2660.5,494.28,Canal Exit,Canal Exit,7.5,2.547,-0.307,107.0,108.0,99.0,1.0,1.0,511.56,490.56,-22.44,-21.0,-516.72,True,True,False,9,12
MGC_v3,2025-01-06 18:12:00+01:00,2025-01-06 18:54:00+01:00,Short,8.0,156,162,6,2649.7000000000003,2648.1000000000004,118.08,Canal Exit,Canal Exit,3.2,1.344,-0.625,162.0,162.0,,0.0,0.0,108.16,108.16,,0.0,,False,False,False,18,18
MGC_v3,2025-01-06 20:32:00+01:00,2025-01-06 21:35:00+01:00,Long,15.0,176,185,9,2645.5,2643.8,-273.6,Stop Loss,Stop Loss,1.7,0.647,-1.118,,,,,,,,,,,,False,True,20,21
MGC_v3,2025-01-07 15:59:00+01:00,2025-01-07 20:39:00+01:00,Short,1.0,334,374,40,2657.9,2664.5,-67.24,Canal Exit,Canal Exit,20.6,0.204,-0.738,368.0,368.0,348.0,6.0,0.0,-58.48,-58.48,-101.48,0.0,-34.24,False,False,False,15,20
MGC_v3,2025-01-08 03:58:00+01:00,2025-01-08 04:12:00+01:00,Long,7.0,428,430,2,2662.4,2661.600000000001,-64.68,Canal Exit,Canal Exit,3.3,0.303,-0.485,429.0,429.0,,1.0,0.0,-31.36,-31.36,,0.0,,True,True,False,3,4
MGC_v3,2025-01-08 04:33:00+01:00,2025-01-08 05:57:00+01:00,Short,6.0,433,445,12,2660.3,2660.0,10.56,Canal Exit,Canal Exit,4.2,0.5,-0.405,437.0,439.0,,8.0,2.0,-44.88,-32.88,,12.0,,False,False,False,4,5
MGC_v3,2025-01-08 10:02:00+01:00,2025-01-08 12:22:00+01:00,Long,5.0,480,500,20,2667.8,2662.9,-251.2,Stop Loss,Stop Loss,4.9,0.327,-1.306,,,497.0,,,,,-117.4,,133.8,,False,False,10,12
MGC_v3,2025-01-08 17:44:00+01:00,2025-01-08 18:26:00+01:00,Long,3.0,546,552,6,2685.5,2678.2000000000003,-222.72,Stop Loss,Stop Loss,7.3,0.205,-1.329,,,552.0,,,,,-265.44,,-42.72,,False,False,17,18
MGC_v3,2025-01-08 20:11:00+01:00,2025-01-08 21:00:00+01:00,Long,3.0,567,574,7,2675.1000000000004,2676.0,23.28,Canal Exit,Canal Exit,7.0,0.357,-0.3,570.0,570.0,,4.0,0.0,-49.44,-49.44,,0.0,,True,True,False,20,21
MGC_v3,2025-01-09 10:37:00+01:00,2025-01-09 12:22:00+01:00,Long,7.0,683,698,15,2682.1000000000004,2687.4,362.32,Canal Exit,Canal Exit,3.7,1.595,-0.811,694.0,698.0,,4.0,4.0,59.64,353.64,,294.0,,True,True,False,10,12
MGC_v3,2025-01-10 16:55:00+01:00,2025-01-10 18:26:00+01:00,Short,1.0,933,946,13,2719.2000000000003,2725.4,-63.24,Canal Exit,Canal Exit,15.9,0.245,-0.604,935.0,935.0,,11.0,0.0,-6.48,-6.48,,0.0,,False,False,False,16,18
MGC_v3,2025-01-13 08:17:00+01:00,2025-01-13 09:27:00+01:00,Short,6.0,1057,1067,10,2713.3,2712.6000000000004,34.56,Canal Exit,Canal Exit,4.2,1.405,-0.476,1061.0,1067.0,,6.0,6.0,141.12,27.12,,-114.0,,False,False,False,8,9
MGC_v3,2025-01-13 16:20:00+01:00,2025-01-13 20:46:00+01:00,Short,3.0,1126,1164,38,2685.3,2677.0,245.28,Canal Exit,Canal Exit,7.6,1.355,-0.855,1162.0,1164.0,1152.0,2.0,2.0,190.56,241.56,232.56,51.0,-12.72,False,False,False,16,20
MGC_v3,2025-01-14 05:22:00+01:00,2025-01-14 05:43:00+01:00,Short,9.0,1230,1233,3,2684.5,2687.1000000000004,-245.16,Stop Loss,Stop Loss,2.6,0.154,-1.385,,,,,,,,,,,,False,False,5,5
MGC_v3,2025-01-14 12:36:00+01:00,2025-01-14 13:04:00+01:00,Long,9.0,1292,1296,4,2680.1000000000004,2681.3,96.84,Canal Exit,Canal Exit,2.8,1.107,-0.179,1294.0,1296.0,,2.0,2.0,121.68,85.68,,-36.0,,True,True,False,12,13
MGC_v3,2025-01-14 15:59:00+01:00,2025-01-14 16:20:00+01:00,Long,2.0,1321,1324,3,2682.5,2684.6000000000004,39.52,Canal Exit,Canal Exit,10.9,0.339,-0.45,1323.0,1324.0,,1.0,1.0,29.04,37.04,,8.0,,True,True,False,15,16
MGC_v3,2025-01-14 18:12:00+01:00,2025-01-14 19:22:00+01:00,Short,4.0,1340,1350,10,2682.2000000000003,2682.2000000000003,-4.96,Canal Exit,Canal Exit,5.8,0.414,-0.638,1341.0,1342.0,,9.0,1.0,-37.92,-137.92,,-100.0,,False,False,False,18,19
MGC_v3,2025-01-15 02:27:00+01:00,2025-01-15 02:41:00+01:00,Long,15.0,1403,1405,2,2689.8,2688.1000000000004,-273.6,Stop Loss,Stop Loss,1.7,0.294,-2.0,,,,,,,,,,,,False,False,2,2
MGC_v3,2025-01-15 15:38:00+01:00,2025-01-15 16:06:00+01:00,Short,1.0,1516,1520,4,2703.1000000000004,2699.5,34.76,Canal Exit,Canal Exit,16.0,0.325,-0.281,1517.0,1517.0,,3.0,0.0,-42.48,-42.48,,0.0,,False,False,False,15,16
